observation_date,BAA,BAA10YM,AAA
1998-09-01,7.09,2.28,6.40
1998-10-01,7.18,2.65,6.37
1998-11-01,7.34,2.51,6.41
1998-12-01,7.23,2.58,6.22
1999-01-01,7.29,2.57,6.24
1999-02-01,7.39,2.39,6.40
1999-03-01,7.53,2.30,6.62
1999-04-01,7.48,2.30,6.64
1999-05-01,7.72,2.18,6.93
1999-06-01,8.02,2.12,7.23
1999-07-01,7.95,2.16,7.19
1999-08-01,8.15,2.21,7.40
1999-09-01,8.20,2.28,7.39
1999-10-01,8.38,2.27,7.55
1999-11-01,8.15,2.12,7.36
1999-12-01,8.19,1.91,7.55
2000-01-01,8.33,1.67,7.78
2000-02-01,8.29,1.77,7.68
2000-03-01,8.37,2.11,7.68
2000-04-01,8.40,2.41,7.64
2000-05-01,8.90,2.46,7.99
2000-06-01,8.48,2.38,7.67
2000-07-01,8.35,2.30,7.65
2000-08-01,8.26,2.43,7.55
2000-09-01,8.35,2.55,7.62
2000-10-01,8.34,2.60,7.55
2000-11-01,8.28,2.56,7.45
2000-12-01,8.02,2.78,7.21
2001-01-01,7.93,2.77,7.15
2001-02-01,7.87,2.77,7.10
2001-03-01,7.84,2.95,6.98
2001-04-01,8.07,2.93,7.20
2001-05-01,8.07,2.68,7.29
2001-06-01,7.97,2.69,7.18
2001-07-01,7.97,2.73,7.13
2001-08-01,7.85,2.88,7.02
2001-09-01,8.03,3.30,7.17
2001-10-01,7.91,3.34,7.03
2001-11-01,7.81,3.16,6.97
2001-12-01,8.05,2.96,6.77
2002-01-01,7.87,2.83,6.55
2002-02-01,7.89,2.98,6.51
2002-03-01,8.11,2.83,6.81
2002-04-01,8.03,2.82,6.76
2002-05-01,8.09,2.93,6.75
2002-06-01,7.95,3.02,6.63
2002-07-01,7.90,3.25,6.53
2002-08-01,7.58,3.32,6.37
2002-09-01,7.40,3.53,6.15
2002-10-01,7.73,3.79,6.32
2002-11-01,7.62,3.57,6.31
2002-12-01,7.45,3.42,6.21
2003-01-01,7.35,3.30,6.17
2003-02-01,7.06,3.16,5.95
2003-03-01,6.95,3.14,5.89
2003-04-01,6.85,2.89,5.74
2003-05-01,6.38,2.81,5.22
2003-06-01,6.19,2.86,4.97
2003-07-01,6.62,2.64,5.49
2003-08-01,7.01,2.56,5.88
2003-09-01,6.79,2.52,5.72
2003-10-01,6.73,2.44,5.70
2003-11-01,6.66,2.36,5.65
2003-12-01,6.60,2.33,5.62
2004-01-01,6.44,2.29,5.54
2004-02-01,6.27,2.19,5.50
2004-03-01,6.11,2.28,5.33
2004-04-01,6.46,2.11,5.73
2004-05-01,6.75,2.03,6.04
2004-06-01,6.78,2.05,6.01
2004-07-01,6.62,2.12,5.82
2004-08-01,6.46,2.18,5.65
2004-09-01,6.27,2.14,5.46
2004-10-01,6.21,2.11,5.47
2004-11-01,6.20,2.01,5.52
2004-12-01,6.15,1.92,5.47
2005-01-01,6.02,1.80,5.36
2005-02-01,5.82,1.65,5.20
2005-03-01,6.06,1.56,5.40
2005-04-01,6.05,1.71,5.33
2005-05-01,6.01,1.87,5.15
2005-06-01,5.86,1.86,4.96
2005-07-01,5.95,1.77,5.06
2005-08-01,5.96,1.70,5.09
2005-09-01,6.03,1.83,5.13
2005-10-01,6.30,1.84,5.35
2005-11-01,6.39,1.85,5.42
2005-12-01,6.32,1.85,5.37
2006-01-01,6.24,1.82,5.29
2006-02-01,6.27,1.70,5.35
2006-03-01,6.41,1.69,5.53
2006-04-01,6.68,1.69,5.84
2006-05-01,6.75,1.64,5.95
2006-06-01,6.78,1.67,5.89
2006-07-01,6.76,1.67,5.85
2006-08-01,6.59,1.71,5.68
2006-09-01,6.43,1.71,5.51
2006-10-01,6.42,1.69,5.51
2006-11-01,6.20,1.60,5.33
2006-12-01,6.22,1.66,5.32
2007-01-01,6.34,1.58,5.40
2007-02-01,6.28,1.56,5.39
2007-03-01,6.27,1.71,5.30
2007-04-01,6.39,1.70,5.47
2007-05-01,6.39,1.64,5.47
2007-06-01,6.70,1.60,5.79
2007-07-01,6.65,1.65,5.73
2007-08-01,6.65,1.98,5.79
2007-09-01,6.59,2.07,5.74
2007-10-01,6.48,1.95,5.66
2007-11-01,6.40,2.25,5.44
2007-12-01,6.65,2.55,5.49
2008-01-01,6.54,2.80,5.33
2008-02-01,6.82,3.08,5.53
2008-03-01,6.89,3.38,5.51
2008-04-01,6.97,3.29,5.55
2008-05-01,6.93,3.05,5.57
2008-06-01,7.07,2.97,5.68
2008-07-01,7.16,3.15,5.67
2008-08-01,7.15,3.26,5.64
2008-09-01,7.31,3.62,5.65
2008-10-01,8.88,5.07,6.28
2008-11-01,9.21,5.68,6.12
2008-12-01,8.43,6.01,5.05
2009-01-01,8.14,5.62,5.05
2009-02-01,8.08,5.21,5.27
2009-03-01,8.42,5.60,5.50
2009-04-01,8.39,5.46,5.39
2009-05-01,8.06,4.77,5.54
2009-06-01,7.50,3.78,5.61
2009-07-01,7.09,3.53,5.41
2009-08-01,6.58,2.99,5.26
2009-09-01,6.31,2.91,5.13
2009-10-01,6.29,2.90,5.15
2009-11-01,6.32,2.92,5.19
2009-12-01,6.37,2.78,5.26
2010-01-01,6.25,2.52,5.26
2010-02-01,6.34,2.65,5.35
2010-03-01,6.27,2.54,5.27
2010-04-01,6.25,2.40,5.29
2010-05-01,6.05,2.63,4.96
2010-06-01,6.23,3.03,4.88
2010-07-01,6.01,3.00,4.72
2010-08-01,5.66,2.96,4.49
2010-09-01,5.66,3.01,4.53
2010-10-01,5.72,3.18,4.68
2010-11-01,5.92,3.16,4.87
2010-12-01,6.10,2.81,5.02
